rejected,accepted,F(g2),F(g1),LN(F(g1)-F(g2)
2.039993723,11.681,0.032986701,0.998788392,-0.034796755
0,4.972,0.002056485,0.360496918,-1.025992788
0,29.827,0.002056485,1,-0.002058602
0,19.749,0.002056485,1,-0.002058602
2.371001785,13.181,0.047325909,0.999924883,-0.048561267
1.263001357,11.496,0.012833935,0.998355186,-0.014584589
0,34.101,0.002056485,1,-0.002058602
0.122995471,10.841,0.002498569,0.995450822,-0.0070727
0.186000561,7.986,0.002756834,0.878146698,-0.133085933
3.635003418,13.322,0.150875986,0.999943752,-0.163616277
2.137003094,11.964,0.036760101,0.999252781,-0.038228818
0,14.756,0.002056485,0.999997746,-0.002060861
0,13.384,0.002056485,0.999950546,-0.00210816
5.724001099,7.752,0.509110057,0.852574109,-1.068672825
4.273003136,12.401,0.238753647,0.999658816,-0.273246542
0.996999984,4.835,0.009000333,0.334925056,-1.121088837
0.763004069,7.69,0.006498764,0.845235371,-0.175858559
0,9.219,0.002056485,0.9631747,-0.039657865
0,17.408,0.002056485,0.999999998,-0.002058604
7.657997851,19.608,0.841354511,1,-1.841083198
1.886997168,17.815,0.027688284,1,-0.028078831
7.052003592,9.141,0.756110536,0.959886138,-1.590735881
4.195994139,6.177,0.226859811,0.599374015,-0.98748011
0.514001195,7.799,0.004531715,0.857979441,-0.158470984
0,16.987,0.002056485,0.999999994,-0.002058608
5.56900017,5.615,0.477877715,0.48714106,-4.681690148
0,34.927,0.002056485,1,-0.002058602
0,26.082,0.002056485,1,-0.002058602
0,18.61,0.002056485,1,-0.002058602
1.511994173,14.085,0.017628685,0.999989189,-0.017796926
0.949997624,10.373,0.008439024,0.991150764,-0.017439447
0,5.974,0.002056485,0.55928475,-0.584780312
12.26199344,14.788,0.999560012,0.999997914,-7.733515489
0.887998362,15.443,0.007745746,0.999999596,-0.007776307
6.411002,12.763,0.644294907,0.999827859,-1.034137342
4.276000504,12.902,0.239223379,0.999868732,-0.273588058
4.869006743,20.703,0.341207114,1,-0.417346079
0,10.438,0.002056485,0.991907342,-0.010200996
3.886000608,18.144,0.182504796,1,-0.201510243
0.125004351,39.797,0.002506453,1,-0.0025096
0,19.69,0.002056485,1,-0.002058602
0,20.017,0.002056485,1,-0.002058602
0,12.888,0.002056485,0.99986507,-0.002193819
2.031001617,13.138,0.032653714,0.999918034,-0.033283481
0,9.939,0.002056485,0.984324024,-0.017891564
1.717997884,7.226,0.022679969,0.782822788,-0.274248944
0,18.957,0.002056485,1,-0.002058602
1.263008639,7.99,0.012834057,0.878554904,-0.14419277
0,35.134,0.002056485,1,-0.002058602
2.326996793,6.758,0.045171755,0.707223894,-0.412410967
0,6.086,0.002056485,0.581505729,-0.545677206
2.43399404,5.992,0.050551954,0.5628705,-0.668808687
2.248994802,5.072,0.041547743,0.379572697,-1.084635558
9.843006358,14.853,0.982313982,0.99999822,-4.035081592
1.653994247,11.874,0.020993915,0.999126821,-0.022109723
0,21.483,0.002056485,1,-0.002058602
5.774000828,6.882,0.519182202,0.728388682,-1.564433572
0.205000659,4.526,0.002839316,0.280120315,-1.282723849
0,3.543,0.002056485,0.140255799,-1.979058331
2.566997503,26.232,0.057937972,1,-0.059684159
5.179000273,22.113,0.400312421,1,-0.511346461
0,14.22,0.002056485,0.999992044,-0.002066575
0,11.724,0.002056485,0.998872802,-0.003188762
1.272003521,25.233,0.012985283,1,-0.013070328
0,22.347,0.002056485,1,-0.002058602
2.191994508,19.196,0.039051384,1,-0.039834341
1.615001057,9.4,0.020019657,0.969961826,-0.051354171
2.628996764,7.964,0.061658999,0.87588434,-0.205518119
3.798000683,13.97,0.170973576,0.999986012,-0.187520123
0.209003856,5.716,0.002856975,0.507497577,-0.683908782
1.565997099,6.713,0.018849908,0.699358116,-0.384915394
5.850008503,6.072,0.534467937,0.578740779,-3.117383838
3.276003152,4.153,0.112358972,0.220367629,-2.225543897
0,19.674,0.002056485,1,-0.002058602
0.718999078,8.395,0.006104043,0.915035211,-0.09548591
1.999006217,20.235,0.031491297,1,-0.03199781
0,21.858,0.002056485,1,-0.002058602
2.685001289,7.24,0.065178288,0.784896045,-0.328896148
0,9.425,0.002056485,0.970812073,-0.03174293
1.828005334,27.271,0.025844368,1,-0.026184202
0,11.624,0.002056485,0.998667581,-0.003394659
0,7.927,0.002056485,0.872013512,-0.139311463
1.763005927,4.59,0.023932799,0.291109468,-1.319845157
2.323996648,13.56,0.045027811,0.999965857,-0.046108814
7.581994683,16.102,0.8318842,0.999999931,-1.783102665
0,15.151,0.002056485,0.99999915,-0.002059454
0,9.971,0.002056485,0.984949001,-0.017255507
0,11.282,0.002056485,0.997681046,-0.004385039
0,6.821,0.002056485,0.718072535,-0.334052696
0,21.141,0.002056485,1,-0.002058602
0,16.414,0.002056485,0.999999971,-0.002058631
